 ,Signup_Date,Cancel_Date,Plan_Type,Country,Industry,Monthly_Recurring_Revenue,Total_Contract_Value,Payment_Method,Currency,Churned,Customer Status,Is_Active,Active Months,Churn_Reason,NPS_Score,NPS_Scrore_Clean,Support_Tickets_Opened,Acquisition_Channel,Is_Referral_Customer,Region,Cohort_Month,Column1
CUST0020,2024-05-25,,Basic,United States,HealthTech,29,29,PayPal,GBP,No,Active,1,1,Not Provided,,No Score,1,Paid,No,North America,2024-05,
CUST0021,2023-04-21,2023-06-20,Basic,Australia,EdTech,29,58,Card,USD,Yes,Churned,0,1,Bugs,3,3,0,Paid,No,Other,2023-04,
CUST0022,2024-02-21,,Enterprise,United States,Fintech,199,796,Wire,USD,No,Active,1,4,Not Provided,8,8,0,Organic,No,Asia,2024-02,
CUST0023,2023-02-19,,Pro,India,EdTech,79,1264,Card,USD,No,Active,1,16,Not Provided,0,0,2,Partnership,No,Other,2023-02,
CUST0024,2023-06-19,,Enterprise,Canada,E-commerce,199,2388,Wire,EUR,No,Active,1,12,Not Provided,1,1,0,Paid,No,Europe,2023-06,
CUST0025,2023-07-14,,Basic,United States,HealthTech,29,319,Card,USD,No,Active,1,11,Not Provided,4,4,1,Organic,No,Other,2023-07,
CUST0026,2024-03-25,2024-06-27,Basic,Canada,E-commerce,29,87,Card,USD,Yes,Churned,0,3,Pricing,5,5,1,Organic,Yes,Asia,2024-03,
CUST0027,2023-07-14,2024-01-21,Basic,Nigeria,HealthTech,29,174,Wire,EUR,Yes,Churned,0,6,Switched to Competitor,1,1,1,Paid,Yes,Africa,2023-07,
CUST0028,2024-04-09,2024-06-21,Basic,Australia,Marketing,29,58,Card,GBP,Yes,Churned,0,2,Pricing,10,10,0,Organic,No,Asia,2024-04,
CUST0029,2023-01-05,,Pro,United States,EdTech,79,1422,PayPal,GBP,No,Active,1,17,Not Provided,,No Score,1,Organic,Yes,North America,2023-01,
CUST0030,2023-03-12,,Basic,India,E-commerce,29,435,Card,USD,No,Active,1,15,Not Provided,,No Score,0,Paid,No,Other,2023-03,
CUST0031,2023-08-24,,Basic,Germany,Real Estate,29,290,Card,USD,No,Active,1,10,Not Provided,4,4,0,Organic,Yes,North America,2023-08,
CUST0032,2024-04-05,2024-05-13,Enterprise,Germany,Fintech,199,199,Card,EUR,Yes,Churned,0,1,Switched to Competitor,3,3,0,Organic,No,Other,2024-04,
CUST0033,2023-03-10,,Basic,United Kingdom,HealthTech,29,435,Card,GBP,No,Active,1,15,Not Provided,0,0,2,Referral,No,Asia,2023-03,
CUST0034,2023-07-29,,Basic,United States,HealthTech,29,319,Wire,USD,No,Active,1,11,Not Provided,10,10,1,Organic,Yes,Europe,2023-07,
CUST0035,2024-05-21,2024-06-27,Pro,United States,EdTech,79,79,Card,GBP,Yes,Churned,0,1,Pricing,6,6,1,Paid,No,Other,2024-05,
CUST0036,2024-02-16,2024-06-13,Basic,Australia,EdTech,29,87,Card,GBP,Yes,Churned,0,3,Switched to Competitor,,No Score,1,Organic,No,Other,2024-02,
CUST0037,2023-03-21,2023-11-29,Pro,United States,E-commerce,79,632,PayPal,USD,Yes,Churned,0,8,Switched to Competitor,,No Score,0,Referral,No,Africa,2023-03,
CUST0038,2023-11-23,,Pro,Germany,Marketing,79,553,Wire,USD,No,Active,1,7,Not Provided,7,7,2,Paid,No,Other,2023-11,
CUST0039,2023-10-03,,Pro,Germany,EdTech,79,711,Wire,USD,No,Active,1,8,Not Provided,1,1,1,Organic,Yes,Africa,2023-10,
CUST0040,2023-06-14,,Pro,Australia,HealthTech,79,948,Card,EUR,No,Active,1,12,Not Provided,,No Score,1,Referral,Yes,Other,2023-06,
CUST0041,2023-10-14,2024-05-24,Enterprise,United Kingdom,E-commerce,199,1393,Wire,GBP,Yes,Churned,0,7,Not Provided,7,7,0,Referral,No,Asia,2023-10,
CUST0042,2024-05-06,,Pro,United States,Marketing,79,79,Card,EUR,No,Active,1,1,Not Provided,8,8,1,Paid,Yes,Africa,2024-05,
CUST0043,2023-03-14,,Pro,Nigeria,Fintech,79,1185,Card,USD,No,Active,1,15,Not Provided,,No Score,1,Referral,No,Europe,2023-03,
CUST0044,2023-12-14,2024-03-09,Enterprise,United States,EdTech,199,398,Card,EUR,Yes,Churned,0,2,Pricing,0,0,3,Organic,No,North America,2023-12,
CUST0045,2023-07-16,,Pro,Australia,Real Estate,79,869,Card,EUR,No,Active,1,11,Not Provided,,No Score,0,Organic,No,Europe,2023-07,
CUST0046,2023-03-11,2023-11-08,Basic,India,E-commerce,29,232,Card,USD,Yes,Churned,0,7,Switched to Competitor,7,7,0,Paid,No,Other,2023-03,
CUST0047,2024-05-14,,Pro,United States,HealthTech,79,79,PayPal,EUR,No,Active,1,1,Not Provided,,No Score,1,Paid,Yes,North America,2024-05,
CUST0048,2023-08-06,,Basic,Nigeria,Real Estate,29,290,Wire,GBP,No,Active,1,10,Not Provided,,No Score,0,Paid,Yes,North America,2023-08,
CUST0049,2023-03-31,,Basic,Germany,Marketing,29,435,Card,EUR,No,Active,1,14,Not Provided,1,1,4,Referral,No,North America,2023-03,
CUST0050,2023-12-31,2024-03-13,Enterprise,United States,HealthTech,199,398,Wire,GBP,Yes,Churned,0,2,No Value,,No Score,0,Paid,No,Asia,2023-12,
CUST0051,2024-01-05,2024-04-18,Pro,Nigeria,E-commerce,79,237,Wire,GBP,Yes,Churned,0,3,Switched to Competitor,,No Score,0,Referral,No,Asia,2024-01,
CUST0052,2023-10-23,2024-03-14,Basic,United States,HealthTech,29,116,PayPal,GBP,Yes,Churned,0,4,Switched to Competitor,0,0,0,Partnership,No,North America,2023-10,
CUST0053,2023-03-25,,Basic,Australia,E-commerce,29,435,PayPal,USD,No,Active,1,15,Not Provided,,No Score,2,Organic,No,Europe,2023-03,
CUST0054,2023-11-05,,Basic,Nigeria,EdTech,29,203,PayPal,USD,No,Active,1,7,Not Provided,4,4,1,Referral,No,Other,2023-11,
CUST0055,2024-02-27,,Pro,India,Marketing,79,316,PayPal,USD,No,Active,1,4,Not Provided,4,4,1,Paid,No,Europe,2024-02,
CUST0056,2024-01-03,2024-04-26,Basic,Nigeria,Real Estate,29,87,Wire,EUR,Yes,Churned,0,3,Pricing,6,6,0,Organic,Yes,Africa,2024-01,
CUST0057,2024-03-18,,Pro,Australia,Real Estate,79,237,PayPal,EUR,No,Active,1,3,Not Provided,3,3,0,Referral,No,Europe,2024-03,
CUST0058,2023-04-24,,Basic,United States,HealthTech,29,406,PayPal,GBP,No,Active,1,14,Not Provided,5,5,2,Organic,Yes,Other,2023-04,
CUST0059,2024-01-18,2024-05-13,Pro,Nigeria,E-commerce,79,237,Card,USD,Yes,Churned,0,3,No Value,,No Score,0,Referral,No,Africa,2024-01,
CUST0060,2024-01-26,,Pro,United States,HealthTech,79,395,Card,USD,No,Active,1,5,Not Provided,,No Score,0,Organic,No,Europe,2024-01,
CUST0061,2024-03-21,2024-05-06,Basic,Germany,Real Estate,29,29,PayPal,GBP,Yes,Churned,0,1,Bugs,6,6,1,Referral,Yes,North America,2024-03,
CUST0062,2024-01-20,2024-02-20,Pro,United States,Fintech,79,79,Wire,GBP,Yes,Churned,0,1,Other,8,8,1,Organic,Yes,Asia,2024-01,
CUST0063,2023-12-19,,Pro,Germany,Real Estate,79,474,PayPal,EUR,No,Active,1,6,Not Provided,10,10,1,Referral,Yes,Africa,2023-12,
CUST0064,2024-04-07,2024-05-16,Basic,Germany,Real Estate,29,29,Wire,GBP,Yes,Churned,0,1,Bugs,,No Score,0,Paid,Yes,Europe,2024-04,
CUST0065,2023-05-04,,Pro,Australia,HealthTech,79,1106,Card,GBP,No,Active,1,13,Not Provided,10,10,0,Paid,No,Asia,2023-05,
CUST0066,2023-02-13,,Pro,Germany,Real Estate,79,1264,PayPal,EUR,No,Active,1,16,Not Provided,,No Score,0,Partnership,No,Europe,2023-02,
CUST0067,2023-08-19,2024-03-13,Basic,Nigeria,Marketing,29,174,PayPal,EUR,Yes,Churned,0,6,Other,,No Score,2,Organic,No,Europe,2023-08,
CUST0068,2023-04-10,,Basic,Australia,Real Estate,29,406,Wire,USD,No,Active,1,14,Not Provided,,No Score,1,Organic,No,North America,2023-04,
CUST0069,2024-01-17,2024-06-05,Enterprise,United States,Real Estate,199,796,PayPal,GBP,Yes,Churned,0,4,Bugs,7,7,2,Organic,Yes,Other,2024-01,
CUST0070,2023-10-22,,Pro,United States,Real Estate,79,632,PayPal,EUR,No,Active,1,8,Not Provided,,No Score,3,Referral,No,North America,2023-10,
CUST0071,2023-12-25,2024-04-23,Pro,Australia,Marketing,79,316,Card,GBP,Yes,Churned,0,3,Switched to Competitor,7,7,1,Referral,Yes,Asia,2023-12,
CUST0072,2023-08-18,,Pro,Australia,Real Estate,79,790,PayPal,GBP,No,Active,1,10,Not Provided,5,5,0,Paid,No,Africa,2023-08,
CUST0073,2023-12-13,,Basic,Australia,Fintech,29,174,Wire,USD,No,Active,1,6,Not Provided,2,2,0,Partnership,No,Europe,2023-12,
CUST0074,2024-01-19,,Basic,Australia,E-commerce,29,145,PayPal,GBP,No,Active,1,5,Not Provided,1,1,0,Paid,Yes,Other,2024-01,
CUST0075,2024-03-25,2024-06-09,Basic,India,EdTech,29,58,Wire,USD,Yes,Churned,0,2,Switched to Competitor,,No Score,0,Referral,No,North America,2024-03,
CUST0076,2023-05-17,2024-03-30,Basic,United States,EdTech,29,290,PayPal,GBP,Yes,Churned,0,10,Bugs,7,7,2,Organic,No,Asia,2023-05,
CUST0077,2023-07-22,2024-06-24,Pro,United States,E-commerce,79,869,Card,GBP,Yes,Churned,0,11,Switched to Competitor,3,3,0,Organic,No,North America,2023-07,
CUST0078,2023-07-14,2024-05-31,Enterprise,Australia,E-commerce,199,1990,Wire,USD,Yes,Churned,0,10,Switched to Competitor,2,2,0,Organic,No,Asia,2023-07,
CUST0079,2024-05-04,2024-06-09,Basic,Australia,EdTech,29,29,PayPal,USD,Yes,Churned,0,1,No Value,,No Score,0,Paid,No,Africa,2024-05,
CUST0080,2023-08-01,,Basic,Australia,Marketing,29,319,Wire,GBP,No,Active,1,10,Not Provided,,No Score,0,Referral,No,Asia,2023-08,
CUST0081,2023-11-18,,Basic,United States,Marketing,29,203,Card,USD,No,Active,1,7,Not Provided,0,0,0,Organic,No,Asia,2023-11,
CUST0082,2023-03-17,,Pro,Australia,HealthTech,79,1185,Wire,EUR,No,Active,1,15,Not Provided,6,6,2,Paid,No,Africa,2023-03,
CUST0083,2023-06-19,,Basic,United States,HealthTech,29,348,Wire,USD,No,Active,1,12,Not Provided,8,8,0,Organic,Yes,Other,2023-06,
CUST0084,2023-09-02,,Pro,United States,EdTech,79,790,Wire,GBP,No,Active,1,9,Not Provided,,No Score,2,Organic,No,North America,2023-09,
CUST0085,2023-10-26,,Basic,Australia,EdTech,29,232,PayPal,GBP,No,Active,1,8,Not Provided,,No Score,1,Referral,No,Asia,2023-10,
CUST0086,2024-04-21,,Pro,Nigeria,Real Estate,79,158,PayPal,GBP,No,Active,1,2,Not Provided,,No Score,0,Paid,Yes,Other,2024-04,
CUST0087,2023-09-14,2024-05-18,Basic,United Kingdom,E-commerce,29,232,PayPal,EUR,Yes,Churned,0,8,Bugs,0,0,1,Paid,No,Other,2023-09,
CUST0088,2023-06-10,2024-02-12,Basic,Nigeria,Marketing,29,232,Wire,EUR,Yes,Churned,0,8,Not Provided,,No Score,2,Paid,No,Europe,2023-06,
CUST0089,2024-05-10,,Basic,Germany,Fintech,29,29,Wire,EUR,No,Active,1,1,Not Provided,,No Score,0,Organic,No,Asia,2024-05,
CUST0090,2023-11-08,,Pro,Australia,Real Estate,79,553,PayPal,USD,No,Active,1,7,Not Provided,5,5,1,Paid,No,Africa,2023-11,
CUST0091,2023-11-07,2024-04-03,Pro,Nigeria,HealthTech,79,316,PayPal,USD,Yes,Churned,0,4,Switched to Competitor,,No Score,1,Organic,No,Other,2023-11,
CUST0092,2024-04-08,,Basic,United States,Fintech,29,58,Wire,USD,No,Active,1,2,Not Provided,4,4,3,Organic,No,Other,2024-04,
CUST0093,2024-03-14,,Pro,Australia,EdTech,79,237,Wire,USD,No,Active,1,3,Not Provided,10,10,0,Referral,No,North America,2024-03,
CUST0094,2023-11-24,,Pro,Canada,E-commerce,79,553,Wire,EUR,No,Active,1,7,Not Provided,,No Score,0,Paid,No,Other,2023-11,
CUST0095,2023-08-29,,Basic,United States,Real Estate,29,290,Wire,GBP,No,Active,1,10,Not Provided,2,2,0,Organic,No,North America,2023-08,
CUST0096,2023-01-18,,Basic,Australia,HealthTech,29,493,Wire,GBP,No,Active,1,17,Not Provided,,No Score,1,Organic,No,North America,2023-01,
CUST0097,2024-02-15,,Pro,United States,EdTech,79,316,PayPal,EUR,No,Active,1,4,Not Provided,,No Score,1,Organic,No,Other,2024-02,
CUST0098,2023-05-08,,Enterprise,United States,Marketing,199,2587,PayPal,USD,No,Active,1,13,Not Provided,1,1,0,Paid,No,Africa,2023-05,
CUST0099,2023-04-13,,Pro,Germany,E-commerce,79,1106,PayPal,USD,No,Active,1,14,Not Provided,8,8,0,Organic,No,Europe,2023-04,
CUST0100,2023-09-29,2024-02-14,Basic,Nigeria,E-commerce,29,116,Card,GBP,Yes,Churned,0,4,Not Provided,0,0,0,Referral,Yes,Asia,2023-09,
CUST0101,2023-09-22,,Enterprise,Australia,Fintech,199,1791,Card,GBP,No,Active,1,9,Not Provided,,No Score,0,Organic,No,Europe,2023-09,
CUST0102,2024-02-01,2024-06-01,Basic,Canada,E-commerce,29,116,Card,GBP,Yes,Churned,0,4,Bugs,0,0,3,Paid,No,Asia,2024-02,
CUST0103,2023-10-08,,Pro,Australia,Marketing,79,632,Wire,USD,No,Active,1,8,Not Provided,3,3,1,Paid,No,Europe,2023-10,
CUST0104,2024-05-06,,Basic,United States,Fintech,29,29,PayPal,USD,No,Active,1,1,Not Provided,5,5,1,Organic,No,Asia,2024-05,
CUST0105,2023-10-04,2024-02-29,Basic,Germany,HealthTech,29,116,PayPal,EUR,Yes,Churned,0,4,Not Provided,7,7,0,Organic,No,Other,2023-10,
CUST0106,2023-09-27,,Basic,United States,EdTech,29,261,Card,USD,No,Active,1,9,Not Provided,9,9,2,Referral,No,Africa,2023-09,
CUST0107,2023-12-22,,Enterprise,India,Fintech,199,1194,Wire,USD,No,Active,1,6,Not Provided,,No Score,2,Referral,No,Asia,2023-12,
CUST0108,2023-09-14,,Basic,Canada,HealthTech,29,261,PayPal,EUR,No,Active,1,9,Not Provided,,No Score,0,Referral,No,Europe,2023-09,
CUST0109,2024-05-09,2024-06-29,Pro,Australia,Marketing,79,79,Wire,EUR,Yes,Churned,0,1,Switched to Competitor,,No Score,1,Organic,No,Europe,2024-05,
CUST0110,2023-07-29,2023-09-24,Pro,United Kingdom,Fintech,79,79,PayPal,GBP,Yes,Churned,0,1,Pricing,,No Score,0,Referral,No,North America,2023-07,
CUST0111,2023-08-29,2024-03-18,Basic,United States,Fintech,29,174,Card,GBP,Yes,Churned,0,6,Pricing,,No Score,2,Referral,No,Asia,2023-08,
CUST0112,2023-07-11,2023-08-25,Basic,United States,Marketing,29,29,Card,GBP,Yes,Churned,0,1,Bugs,3,3,1,Referral,No,Europe,2023-07,
CUST0113,2023-04-10,,Basic,Germany,Marketing,29,406,Wire,EUR,No,Active,1,14,Not Provided,2,2,2,Referral,No,Asia,2023-04,
CUST0114,2023-11-03,,Enterprise,United States,E-commerce,199,1592,PayPal,GBP,No,Active,1,7,Not Provided,4,4,0,Paid,No,Africa,2023-11,
CUST0115,2023-07-21,2023-11-11,Enterprise,Germany,Fintech,199,597,PayPal,GBP,Yes,Churned,0,3,Pricing,,No Score,3,Paid,Yes,North America,2023-07,
CUST0116,2024-05-05,,Basic,India,Real Estate,29,29,Card,USD,No,Active,1,1,Not Provided,,No Score,0,Paid,No,Other,2024-05,
CUST0117,2023-05-09,2024-06-07,Basic,India,EdTech,29,377,Card,USD,Yes,Churned,0,12,Other,,No Score,0,Referral,Yes,Asia,2023-05,
CUST0118,2024-05-20,2024-06-30,Basic,India,Real Estate,29,29,Card,EUR,Yes,Churned,0,1,No Value,,No Score,0,Partnership,Yes,North America,2024-05,
CUST0119,2024-01-04,2024-03-05,Basic,India,HealthTech,29,58,PayPal,GBP,Yes,Churned,0,2,Pricing,0,0,0,Paid,No,Europe,2024-01,
CUST0120,2023-10-26,2024-03-02,Basic,India,E-commerce,29,116,Wire,GBP,Yes,Churned,0,4,Bugs,,No Score,1,Referral,No,Europe,2023-10,
CUST0121,2023-10-12,,Pro,United Kingdom,Real Estate,79,632,PayPal,EUR,No,Active,1,8,Not Provided,,No Score,1,Paid,No,North America,2023-10,
CUST0122,2023-10-09,2023-11-23,Basic,Nigeria,Marketing,29,29,Wire,EUR,Yes,Churned,0,1,Switched to Competitor,,No Score,1,Paid,No,Other,2023-10,
CUST0123,2023-11-25,,Pro,India,Marketing,79,553,Card,GBP,No,Active,1,7,Not Provided,9,9,1,Paid,Yes,Asia,2023-11,
CUST0124,2023-04-05,2024-04-11,Basic,Germany,HealthTech,29,348,Card,USD,Yes,Churned,0,12,Switched to Competitor,4,4,1,Organic,No,Europe,2023-04,
CUST0125,2024-02-18,,Pro,United States,HealthTech,79,316,PayPal,GBP,No,Active,1,4,Not Provided,8,8,1,Organic,No,Other,2024-02,
CUST0126,2023-02-23,2023-10-22,Pro,Australia,Fintech,79,632,PayPal,GBP,Yes,Churned,0,7,Bugs,,No Score,1,Organic,No,Other,2023-02,
CUST0127,2023-12-06,,Basic,Australia,E-commerce,29,174,PayPal,GBP,No,Active,1,6,Not Provided,4,4,1,Organic,No,North America,2023-12,
CUST0128,2023-05-29,,Enterprise,United Kingdom,Marketing,199,2587,Wire,GBP,No,Active,1,13,Not Provided,0,0,1,Organic,No,Europe,2023-05,
CUST0129,2024-03-11,,Pro,United States,E-commerce,79,237,PayPal,USD,No,Active,1,3,Not Provided,2,2,1,Paid,No,Africa,2024-03,
CUST0130,2023-07-25,,Pro,United Kingdom,HealthTech,79,869,PayPal,EUR,No,Active,1,11,Not Provided,,No Score,2,Organic,No,Europe,2023-07,
CUST0131,2023-12-14,2024-02-12,Basic,United States,EdTech,29,58,PayPal,EUR,Yes,Churned,0,1,Switched to Competitor,9,9,1,Paid,No,Europe,2023-12,
CUST0132,2023-05-13,2024-02-03,Enterprise,United States,Fintech,199,1592,PayPal,GBP,Yes,Churned,0,8,Pricing,,No Score,0,Organic,No,Europe,2023-05,
CUST0133,2023-08-05,,Basic,India,Marketing,29,319,Wire,EUR,No,Active,1,10,Not Provided,3,3,1,Organic,No,Europe,2023-08,
CUST0134,2023-12-21,,Basic,Nigeria,Real Estate,29,174,Card,USD,No,Active,1,6,Not Provided,4,4,3,Organic,No,Other,2023-12,
CUST0135,2024-03-08,,Pro,India,E-commerce,79,237,Card,USD,No,Active,1,3,Not Provided,6,6,0,Partnership,No,Other,2024-03,
CUST0136,2024-01-26,,Pro,United Kingdom,Real Estate,79,395,Wire,EUR,No,Active,1,5,Not Provided,,No Score,0,Partnership,No,Asia,2024-01,
CUST0137,2023-07-11,,Basic,United States,Fintech,29,319,PayPal,GBP,No,Active,1,11,Not Provided,5,5,1,Paid,No,Other,2023-07,
CUST0138,2023-06-05,,Basic,United States,Real Estate,29,377,PayPal,EUR,No,Active,1,12,Not Provided,7,7,0,Referral,No,Other,2023-06,
CUST0139,2024-04-02,,Pro,Nigeria,Fintech,79,158,Card,EUR,No,Active,1,2,Not Provided,9,9,0,Paid,No,Africa,2024-04,
CUST0140,2023-11-25,,Pro,Canada,EdTech,79,553,Wire,GBP,No,Active,1,7,Not Provided,,No Score,2,Organic,No,Africa,2023-11,
CUST0141,2023-03-11,,Basic,United States,Real Estate,29,435,Card,USD,No,Active,1,15,Not Provided,,No Score,0,Organic,No,Africa,2023-03,
CUST0142,2023-09-07,,Basic,United Kingdom,HealthTech,29,261,Card,EUR,No,Active,1,9,Not Provided,,No Score,1,Organic,No,Europe,2023-09,
CUST0143,2023-11-05,,Basic,Australia,Fintech,29,203,PayPal,GBP,No,Active,1,7,Not Provided,5,5,1,Referral,No,Other,2023-11,
CUST0144,2023-06-15,,Enterprise,Nigeria,HealthTech,199,2388,PayPal,USD,No,Active,1,12,Not Provided,,No Score,2,Referral,No,North America,2023-06,
CUST0145,2024-01-24,2024-03-11,Pro,Nigeria,HealthTech,79,79,Wire,EUR,Yes,Churned,0,1,Bugs,5,5,1,Paid,Yes,Asia,2024-01,
CUST0146,2024-04-25,,Basic,Germany,EdTech,29,58,Wire,GBP,No,Active,1,2,Not Provided,10,10,0,Organic,No,Other,2024-04,
CUST0147,2024-03-04,2024-06-02,Basic,India,Marketing,29,87,Wire,USD,Yes,Churned,0,2,No Value,5,5,1,Partnership,Yes,Asia,2024-03,
CUST0148,2023-06-28,,Basic,Germany,E-commerce,29,348,Wire,USD,No,Active,1,12,Not Provided,,No Score,1,Organic,No,North America,2023-06,
CUST0149,2024-01-05,,Basic,Germany,Real Estate,29,145,PayPal,GBP,No,Active,1,5,Not Provided,,No Score,1,Paid,No,Asia,2024-01,
CUST0150,2023-07-23,2024-03-11,Basic,United States,HealthTech,29,203,Wire,EUR,Yes,Churned,0,7,Switched to Competitor,7,7,0,Paid,Yes,Other,2023-07,
CUST0151,2024-01-09,2024-05-12,Pro,Nigeria,Fintech,79,316,Card,GBP,Yes,Churned,0,4,Not Provided,4,4,1,Organic,No,Other,2024-01,
CUST0152,2023-09-03,,Pro,India,HealthTech,79,790,Wire,USD,No,Active,1,9,Not Provided,4,4,1,Paid,No,Africa,2023-09,
CUST0153,2023-10-14,,Basic,United States,E-commerce,29,232,Card,EUR,No,Active,1,8,Not Provided,6,6,0,Partnership,No,Asia,2023-10,
CUST0154,2023-04-25,,Basic,India,EdTech,29,406,Wire,EUR,No,Active,1,14,Not Provided,,No Score,1,Paid,No,Africa,2023-04,
CUST0155,2023-11-28,,Basic,Australia,HealthTech,29,203,PayPal,EUR,No,Active,1,7,Not Provided,,No Score,0,Referral,No,Africa,2023-11,
CUST0156,2024-02-16,,Basic,United States,HealthTech,29,116,PayPal,EUR,No,Active,1,4,Not Provided,0,0,0,Paid,No,North America,2024-02,
CUST0157,2023-02-11,,Basic,India,Real Estate,29,464,Card,GBP,No,Active,1,16,Not Provided,,No Score,0,Partnership,No,Other,2023-02,
CUST0158,2024-03-26,,Basic,United Kingdom,Marketing,29,87,Card,GBP,No,Active,1,3,Not Provided,0,0,0,Paid,No,Africa,2024-03,
CUST0159,2024-03-20,,Basic,United States,Marketing,29,87,Wire,EUR,No,Active,1,3,Not Provided,0,0,1,Paid,Yes,Asia,2024-03,
CUST0160,2024-04-16,,Pro,Nigeria,EdTech,79,158,Card,USD,No,Active,1,2,Not Provided,5,5,0,Referral,No,Africa,2024-04,
CUST0161,2024-02-02,,Pro,United Kingdom,Marketing,79,316,PayPal,GBP,No,Active,1,4,Not Provided,4,4,0,Referral,No,Other,2024-02,
CUST0162,2023-10-29,,Pro,India,Marketing,79,632,PayPal,GBP,No,Active,1,8,Not Provided,9,9,0,Paid,No,Other,2023-10,
CUST0163,2023-03-21,,Basic,Germany,HealthTech,29,435,PayPal,USD,No,Active,1,15,Not Provided,10,10,0,Partnership,No,Other,2023-03,
CUST0164,2024-03-07,2024-05-16,Basic,Canada,Marketing,29,58,PayPal,EUR,Yes,Churned,0,2,Pricing,5,5,1,Organic,No,Asia,2024-03,
CUST0165,2023-01-05,,Basic,United States,HealthTech,29,522,Card,USD,No,Active,1,17,Not Provided,9,9,4,Referral,Yes,Africa,2023-01,
CUST0166,2024-02-03,,Pro,India,E-commerce,79,316,Wire,USD,No,Active,1,4,Not Provided,9,9,0,Organic,No,Asia,2024-02,
CUST0167,2023-11-08,2024-05-12,Enterprise,Australia,E-commerce,199,1194,Wire,GBP,Yes,Churned,0,6,No Value,8,8,0,Referral,Yes,North America,2023-11,
CUST0168,2023-09-04,,Pro,United Kingdom,EdTech,79,790,Wire,GBP,No,Active,1,9,Not Provided,7,7,0,Organic,Yes,Other,2023-09,
CUST0169,2023-04-21,,Pro,United States,E-commerce,79,1106,Card,EUR,No,Active,1,14,Not Provided,1,1,0,Paid,Yes,Africa,2023-04,
CUST0170,2023-12-27,,Pro,United States,HealthTech,79,474,Card,GBP,No,Active,1,6,Not Provided,,No Score,1,Partnership,No,Other,2023-12,
